EmployeeNumber,Age,DistanceFromHome,EducationField,Education,Gender,JobLevel,JobRole,MaritalStatus,Department
1,42,3,Life Sciences,2,Female,2,Sales Executive,Single,Sales
2,50,10,Life Sciences,1,Male,2,Research Scientist,Married,Research & Development
4,38,4,Other,2,Male,1,Laboratory Technician,Single,Research & Development
5,34,5,Life Sciences,4,Female,1,Research Scientist,Married,Research & Development
7,28,4,Medical,1,Male,1,Laboratory Technician,Married,Research & Development
8,33,4,Life Sciences,2,Male,1,Laboratory Technician,Single,Research & Development
10,60,5,Medical,3,Female,1,Laboratory Technician,Married,Research & Development
11,31,26,Life Sciences,1,Male,1,Laboratory Technician,Divorced,Research & Development
12,39,25,Life Sciences,3,Male,3,Manufacturing Director,Single,Research & Development
13,37,29,Medical,3,Male,2,Healthcare Representative,Married,Research & Development
14,36,18,Medical,3,Male,1,Laboratory Technician,Married,Research & Development
15,30,17,Life Sciences,2,Female,2,Laboratory Technician,Single,Research & Development
16,32,28,Life Sciences,1,Male,1,Research Scientist,Divorced,Research & Development
18,35,21,Medical,2,Male,1,Laboratory Technician,Divorced,Research & Development
19,29,26,Life Sciences,3,Male,1,Laboratory Technician,Single,Research & Development
20,30,23,Life Sciences,4,Female,3,Manufacturing Director,Divorced,Research & Development
21,33,7,Life Sciences,2,Male,1,Research Scientist,Divorced,Research & Development
22,23,18,Medical,2,Male,1,Laboratory Technician,Divorced,Research & Development
23,54,4,Life Sciences,4,Female,4,Manager,Married,Sales
24,39,4,Life Sciences,3,Male,1,Research Scientist,Single,Research & Development
26,25,13,Other,2,Female,2,Manufacturing Director,Divorced,Research & Development
27,37,11,Life Sciences,4,Male,1,Sales Representative,Single,Sales
28,35,9,Life Sciences,4,Female,3,Research Director,Single,Research & Development
30,22,17,Life Sciences,2,Male,1,Research Scientist,Single,Research & Development
31,35,8,Medical,1,Male,1,Research Scientist,Single,Research & Development
32,54,7,Other,3,Female,5,Manager,Divorced,Research & Development
33,33,18,Life Sciences,1,Female,1,Research Scientist,Single,Research & Development
35,43,10,Marketing,4,Male,2,Sales Executive,Married,Sales
36,45,9,Medical,4,Female,3,Healthcare Representative,Married,Research & Development
38,47,4,Marketing,4,Female,5,Manager,Single,Sales
39,34,4,Medical,3,Male,1,Laboratory Technician,Single,Research & Development
40,45,12,Other,4,Male,2,Healthcare Representative,Married,Research & Development
41,31,11,Medical,2,Male,1,Laboratory Technician,Single,Research & Development
42,40,7,Technical Degree,3,Male,2,Sales Representative,Married,Sales
45,25,3,Medical,3,Male,1,Research Scientist,Married,Research & Development
46,44,4,Medical,2,Female,1,Research Scientist,Divorced,Research & Development
47,51,5,Marketing,2,Male,1,Sales Representative,Married,Sales
49,36,4,Marketing,3,Female,1,Sales Representative,Married,Sales
51,37,7,Life Sciences,4,Female,1,Research Scientist,Married,Research & Development
52,34,3,Life Sciences,3,Female,2,Sales Executive,Married,Sales
53,36,6,Other,2,Male,1,Laboratory Technician,Divorced,Research & Development
54,28,4,Life Sciences,4,Female,1,Laboratory Technician,Divorced,Research & Development
55,27,27,Life Sciences,3,Male,1,Laboratory Technician,Single,Research & Development
56,28,10,Life Sciences,3,Male,3,Sales Executive,Single,Sales
57,31,3,Medical,2,Female,2,Laboratory Technician,Single,Research & Development
58,42,14,Technical Degree,3,Female,5,Research Director,Married,Research & Development
60,35,25,Marketing,4,Male,2,Sales Executive,Single,Sales
61,38,21,Life Sciences,2,Male,1,Research Scientist,Married,Research & Development
62,47,7,Marketing,4,Male,2,Sales Executive,Single,Sales
63,36,10,Life Sciences,1,Male,1,Laboratory Technician,Married,Research & Development
64,49,3,Life Sciences,2,Male,3,Laboratory Technician,Single,Research & Development
65,29,7,Technical Degree,4,Male,1,Laboratory Technician,Single,Research & Development
68,45,3,Marketing,5,Female,2,Sales Executive,Divorced,Sales
70,36,13,Medical,2,Male,3,Healthcare Representative,Married,Research & Development
72,27,25,Marketing,3,Female,2,Sales Executive,Married,Sales
73,34,3,Life Sciences,2,Female,3,Research Director,Single,Research & Development
74,36,20,Life Sciences,5,Male,3,Sales Executive,Married,Sales
75,36,25,Medical,4,Female,1,Laboratory Technician,Married,Research & Development
76,32,9,Life Sciences,4,Male,2,Laboratory Technician,Divorced,Research & Development
77,38,3,Life Sciences,4,Male,2,Manufacturing Director,Divorced,Research & Development
78,33,3,Medical,3,Male,2,Manufacturing Director,Married,Research & Development
79,39,31,Life Sciences,5,Female,2,Laboratory Technician,Single,Research & Development
80,51,9,Medical,2,Female,5,Research Director,Divorced,Research & Development
81,60,27,Life Sciences,3,Female,3,Sales Executive,Single,Sales
83,37,10,Technical Degree,3,Female,3,Healthcare Representative,Divorced,Research & Development
84,56,10,Medical,3,Female,4,Manager,Divorced,Research & Development
85,37,13,Life Sciences,3,Male,2,Manufacturing Director,Single,Research & Development
86,46,9,Life Sciences,3,Male,3,Research Scientist,Divorced,Research & Development
88,36,3,Medical,3,Male,1,Research Scientist,Married,Research & Development
90,37,11,Medical,3,Male,1,Research Scientist,Married,Research & Development
91,60,3,Life Sciences,1,Female,2,Sales Executive,Single,Sales
94,30,4,Life Sciences,3,Male,1,Research Scientist,Married,Research & Development
95,32,3,Medical,4,Male,1,Research Scientist,Single,Research & Development
96,33,3,Life Sciences,3,Male,2,Research Scientist,Married,Research & Development
97,37,8,Life Sciences,3,Female,1,Laboratory Technician,Married,Research & Development
98,32,10,Life Sciences,4,Female,2,Manufacturing Director,Single,Research & Development
100,36,3,Marketing,4,Male,2,Sales Executive,Single,Sales
101,46,8,Other,4,Male,3,Research Director,Married,Research & Development
102,38,9,Medical,4,Male,3,Research Director,Single,Research & Development
103,47,7,Medical,2,Male,2,Human Resources,Divorced,Human Resources
104,31,3,Life Sciences,1,Male,2,Laboratory Technician,Married,Research & Development
105,36,3,Medical,3,Male,1,Research Scientist,Single,Research & Development
106,56,3,Life Sciences,2,Male,3,Sales Executive,Married,Sales
107,39,8,Medical,3,Female,2,Research Scientist,Divorced,Research & Development
110,35,3,Medical,2,Male,2,Manufacturing Director,Married,Research & Development
112,57,9,Life Sciences,3,Male,3,Manufacturing Director,Single,Research & Development
113,24,4,Technical Degree,1,Male,1,Sales Representative,Divorced,Sales
116,52,11,Life Sciences,4,Male,1,Laboratory Technician,Married,Research & Development
117,31,4,Life Sciences,3,Male,2,Healthcare Representative,Married,Research & Development
118,47,11,Medical,2,Male,3,Sales Executive,Single,Sales
119,41,3,Life Sciences,4,Male,4,Healthcare Representative,Married,Research & Development
120,52,23,Marketing,4,Male,2,Sales Executive,Single,Sales
121,31,6,Medical,2,Female,2,Sales Executive,Divorced,Sales
124,47,3,Medical,3,Male,3,Healthcare Representative,Married,Research & Development
125,33,8,Medical,4,Male,2,Sales Executive,Single,Sales
126,55,4,Technical Degree,4,Female,3,Research Director,Married,Research & Development
128,25,5,Other,2,Female,2,Sales Executive,Married,Sales
129,29,6,Medical,3,Male,2,Sales Executive,Married,Sales
131,59,12,Medical,4,Male,4,Sales Executive,Single,Sales
132,45,25,Medical,3,Male,2,Laboratory Technician,Married,Research & Development
133,38,8,Human Resources,4,Male,1,Human Resources,Divorced,Human Resources
134,33,3,Life Sciences,1,Male,1,Research Scientist,Single,Research & Development
137,21,8,Life Sciences,3,Female,1,Laboratory Technician,Single,Research & Development
138,35,8,Other,4,Female,2,Research Scientist,Single,Research & Development
139,38,4,Life Sciences,2,Male,2,Healthcare Representative,Divorced,Research & Development
140,60,4,Human Resources,4,Female,5,Manager,Married,Human Resources
141,51,3,Life Sciences,3,Female,5,Research Director,Married,Research & Development
142,26,7,Marketing,3,Male,2,Sales Executive,Single,Sales
143,26,9,Medical,1,Male,1,Research Scientist,Married,Research & Development
144,23,17,Medical,3,Female,1,Laboratory Technician,Single,Research & Development
145,52,3,Medical,4,Female,3,Healthcare Representative,Single,Research & Development
147,35,9,Life Sciences,3,Male,2,Laboratory Technician,Single,Research & Development
148,55,28,Human Resources,3,Female,4,Manager,Single,Human Resources
150,25,20,Life Sciences,1,Male,1,Laboratory Technician,Married,Research & Development
151,35,8,Life Sciences,4,Female,2,Research Scientist,Divorced,Research & Development
152,38,5,Life Sciences,3,Male,3,Sales Executive,Single,Sales
153,35,7,Medical,3,Female,3,Manager,Single,Research & Development
154,37,13,Technical Degree,2,Female,3,Sales Executive,Married,Sales
155,37,5,Life Sciences,2,Female,1,Laboratory Technician,Divorced,Research & Development
158,44,28,Life Sciences,2,Male,4,Manager,Married,Sales
159,31,25,Life Sciences,3,Male,1,Research Scientist,Divorced,Research & Development
160,34,24,Marketing,2,Male,2,Sales Executive,Married,Sales
161,57,16,Life Sciences,4,Female,1,Research Scientist,Married,Research & Development
162,52,8,Life Sciences,3,Male,5,Research Director,Single,Research & Development
163,32,8,Life Sciences,4,Male,2,Sales Executive,Married,Sales
164,27,8,Other,3,Female,1,Research Scientist,Married,Research & Development
165,59,25,Medical,4,Female,3,Healthcare Representative,Married,Research & Development
167,20,24,Marketing,1,Male,1,Sales Representative,Single,Sales
169,23,4,Technical Degree,1,Male,1,Laboratory Technician,Married,Research & Development
170,50,22,Medical,4,Female,2,Manufacturing Director,Married,Research & Development
171,44,30,Medical,3,Female,1,Research Scientist,Single,Research & Development
174,51,14,Marketing,3,Female,3,Sales Executive,Single,Sales
175,32,22,Life Sciences,3,Female,2,Sales Executive,Married,Sales
176,42,11,Life Sciences,1,Male,3,Sales Executive,Divorced,Sales
177,27,27,Life Sciences,1,Female,1,Human Resources,Married,Human Resources
178,37,8,Medical,2,Male,2,Manufacturing Director,Divorced,Research & Development
179,52,10,Life Sciences,4,Male,3,Manufacturing Director,Single,Research & Development
182,40,6,Life Sciences,4,Female,2,Sales Executive,Married,Sales
183,26,30,Life Sciences,3,Male,2,Sales Executive,Married,Sales
184,31,11,Human Resources,3,Male,2,Human Resources,Married,Human Resources
190,33,11,Medical,3,Female,1,Laboratory Technician,Single,Research & Development
192,46,31,Medical,3,Male,1,Research Scientist,Single,Research & Development
193,39,5,Technical Degree,5,Female,2,Research Scientist,Single,Research & Development
194,31,20,Life Sciences,3,Female,1,Research Scientist,Single,Research & Development
195,33,11,Medical,2,Male,2,Sales Executive,Divorced,Sales
197,31,7,Technical Degree,3,Female,1,Research Scientist,Divorced,Research & Development
198,31,4,Medical,1,Male,1,Laboratory Technician,Single,Research & Development
199,42,12,Life Sciences,3,Male,4,Manager,Divorced,Research & Development
200,42,11,Life Sciences,4,Male,1,Laboratory Technician,Married,Research & Development
201,20,5,Medical,1,Female,1,Laboratory Technician,Single,Research & Development
202,41,28,Medical,3,Female,2,Research Scientist,Divorced,Research & Development
204,36,3,Marketing,5,Male,3,Sales Executive,Married,Sales
205,54,8,Marketing,2,Male,2,Sales Representative,Married,Sales
206,46,11,Life Sciences,3,Male,2,Laboratory Technician,Divorced,Research & Development
207,33,10,Marketing,3,Female,3,Sales Executive,Single,Sales
208,30,3,Technical Degree,1,Male,2,Manufacturing Director,Married,Research & Development
211,52,9,Medical,4,Male,2,Manufacturing Director,Married,Research & Development
214,59,11,Medical,3,Female,1,Research Scientist,Married,Research & Development
215,41,6,Marketing,4,Male,3,Sales Executive,Married,Sales
216,35,4,Marketing,4,Female,1,Sales Representative,Married,Sales
217,23,21,Medical,1,Male,1,Research Scientist,Married,Research & Development
218,28,11,Medical,3,Male,1,Research Scientist,Divorced,Research & Development
221,29,23,Medical,3,Male,1,Research Scientist,Married,Research & Development
223,58,26,Life Sciences,2,Male,3,Healthcare Representative,Divorced,Research & Development
224,28,5,Medical,3,Male,1,Research Scientist,Divorced,Research & Development
226,51,13,Life Sciences,3,Female,5,Manager,Single,Research & Development
227,42,16,Life Sciences,3,Male,1,Research Scientist,Divorced,Research & Development
228,31,7,Life Sciences,3,Female,3,Sales Executive,Married,Sales
230,39,3,Life Sciences,4,Female,2,Sales Executive,Single,Sales
231,33,8,Life Sciences,5,Male,1,Research Scientist,Single,Research & Development
233,28,19,Technical Degree,3,Male,1,Research Scientist,Married,Research & Development
235,20,3,Technical Degree,1,Female,1,Sales Representative,Single,Sales
